Provincia,Tecnologia,Accesos
Buenos Aires,ADSL,214055.0
Buenos Aires,CABLEMODEM,2722466.0
Buenos Aires,DIAL UP,5900.0
Buenos Aires,FIBRA OPTICA,1849476.0
Buenos Aires,OTROS,56102.0
Buenos Aires,SATELITAL,1061.0
Buenos Aires,WIRELESS,140320.0
Capital Federal,ADSL,54102.0
Capital Federal,CABLEMODEM,1144781.0
Capital Federal,DIAL UP,2050.0
Capital Federal,FIBRA OPTICA,230402.0
Capital Federal,OTROS,27704.0
Capital Federal,SATELITAL,67.0
Capital Federal,WIRELESS,4493.0
Catamarca,ADSL,4951.0
Catamarca,CABLEMODEM,10303.0
Catamarca,DIAL UP,1.0
Catamarca,FIBRA OPTICA,58355.0
Catamarca,OTROS,1.0
Catamarca,SATELITAL,79.0
Catamarca,WIRELESS,1384.0
Chaco,ADSL,9448.0
Chaco,CABLEMODEM,57935.0
Chaco,DIAL UP,5.0
Chaco,FIBRA OPTICA,68944.0
Chaco,OTROS,2277.0
Chaco,SATELITAL,76.0
Chaco,WIRELESS,8407.0
Chubut,ADSL,25955.0
Chubut,CABLEMODEM,80704.0
Chubut,DIAL UP,857.0
Chubut,FIBRA OPTICA,26516.0
Chubut,OTROS,8906.0
Chubut,SATELITAL,167.0
Chubut,WIRELESS,31118.0
Cordoba,ADSL,93483.0
Cordoba,CABLEMODEM,443091.0
Cordoba,DIAL UP,63.0
Cordoba,FIBRA OPTICA,477504.0
Cordoba,OTROS,9305.0
Cordoba,SATELITAL,95.0
Cordoba,WIRELESS,62233.0
Corrientes,ADSL,14849.0
Corrientes,CABLEMODEM,86226.0
Corrientes,DIAL UP,3.0
Corrientes,FIBRA OPTICA,39792.0
Corrientes,OTROS,5174.0
Corrientes,SATELITAL,77.0
Corrientes,WIRELESS,10354.0
Entre Rios,ADSL,31335.0
Entre Rios,CABLEMODEM,158918.0
Entre Rios,DIAL UP,20.0
Entre Rios,FIBRA OPTICA,68540.0
Entre Rios,OTROS,11296.0
Entre Rios,SATELITAL,24.0
Entre Rios,WIRELESS,24178.0
Formosa,ADSL,8488.0
Formosa,CABLEMODEM,18768.0
Formosa,FIBRA OPTICA,18977.0
Formosa,OTROS,234.0
Formosa,SATELITAL,53.0
Formosa,WIRELESS,16430.0
Jujuy,ADSL,9509.0
Jujuy,CABLEMODEM,51361.0
Jujuy,FIBRA OPTICA,53492.0
Jujuy,OTROS,1127.0
Jujuy,SATELITAL,89.0
Jujuy,WIRELESS,4106.0
La Pampa,ADSL,6778.0
La Pampa,CABLEMODEM,58647.0
La Pampa,DIAL UP,162.0
La Pampa,FIBRA OPTICA,37226.0
La Pampa,OTROS,868.0
La Pampa,SATELITAL,72.0
La Pampa,WIRELESS,19510.0
La Rioja,ADSL,2230.0
La Rioja,CABLEMODEM,55531.0
La Rioja,DIAL UP,4.0
La Rioja,FIBRA OPTICA,23294.0
La Rioja,OTROS,6.0
La Rioja,SATELITAL,20.0
La Rioja,WIRELESS,6396.0
Mendoza,ADSL,17671.0
Mendoza,CABLEMODEM,66636.0
Mendoza,DIAL UP,730.0
Mendoza,FIBRA OPTICA,188815.0
Mendoza,OTROS,158.0
Mendoza,SATELITAL,37.0
Mendoza,WIRELESS,27606.0
Misiones,ADSL,20868.0
Misiones,CABLEMODEM,76427.0
Misiones,FIBRA OPTICA,87389.0
Misiones,OTROS,6851.0
Misiones,SATELITAL,51.0
Misiones,WIRELESS,14968.0
Neuquen,ADSL,23553.0
Neuquen,CABLEMODEM,72698.0
Neuquen,DIAL UP,439.0
Neuquen,FIBRA OPTICA,41784.0
Neuquen,OTROS,183.0
Neuquen,SATELITAL,134.0
Neuquen,WIRELESS,24751.0
Rio Negro,ADSL,20771.0
Rio Negro,CABLEMODEM,49722.0
Rio Negro,DIAL UP,515.0
Rio Negro,FIBRA OPTICA,67636.0
Rio Negro,OTROS,15106.0
Rio Negro,SATELITAL,208.0
Rio Negro,WIRELESS,18083.0
Salta,ADSL,19831.0
Salta,CABLEMODEM,98511.0
Salta,DIAL UP,5.0
Salta,FIBRA OPTICA,64689.0
Salta,OTROS,6365.0
Salta,SATELITAL,133.0
Salta,WIRELESS,11807.0
San Juan,ADSL,12669.0
San Juan,CABLEMODEM,16978.0
San Juan,DIAL UP,247.0
San Juan,FIBRA OPTICA,45792.0
San Juan,OTROS,6678.0
San Juan,SATELITAL,32.0
San Juan,WIRELESS,23594.0
San Luis,ADSL,4038.0
San Luis,CABLEMODEM,40063.0
San Luis,DIAL UP,165.0
San Luis,FIBRA OPTICA,34255.0
San Luis,OTROS,70.0
San Luis,SATELITAL,64.0
San Luis,WIRELESS,78954.0
Santa Cruz,ADSL,7768.0
Santa Cruz,CABLEMODEM,14134.0
Santa Cruz,DIAL UP,187.0
Santa Cruz,FIBRA OPTICA,49545.0
Santa Cruz,OTROS,406.0
Santa Cruz,SATELITAL,68.0
Santa Cruz,WIRELESS,11353.0
Santa Fe,ADSL,88486.0
Santa Fe,CABLEMODEM,394939.0
Santa Fe,DIAL UP,106.0
Santa Fe,FIBRA OPTICA,390090.0
Santa Fe,OTROS,12932.0
Santa Fe,SATELITAL,134.0
Santa Fe,WIRELESS,44286.0
Santiago Del Estero,ADSL,5328.0
Santiago Del Estero,CABLEMODEM,80000.0
Santiago Del Estero,DIAL UP,2.0
Santiago Del Estero,FIBRA OPTICA,30008.0
Santiago Del Estero,OTROS,2789.0
Santiago Del Estero,SATELITAL,129.0
Santiago Del Estero,WIRELESS,7058.0
Tierra Del Fuego,ADSL,9357.0
Tierra Del Fuego,CABLEMODEM,47859.0
Tierra Del Fuego,DIAL UP,305.0
Tierra Del Fuego,FIBRA OPTICA,3684.0
Tierra Del Fuego,OTROS,4.0
Tierra Del Fuego,SATELITAL,23.0
Tierra Del Fuego,WIRELESS,177.0
Tucuman,ADSL,27968.0
Tucuman,CABLEMODEM,20806.0
Tucuman,DIAL UP,27.0
Tucuman,FIBRA OPTICA,213753.0
Tucuman,OTROS,454.0
Tucuman,SATELITAL,37.0
Tucuman,WIRELESS,3869.0
